p,ct,sa,gl_sf_mask,ml_sf_mask
253,15.4052076969433,36.257050007894215,True,True
254,15.351487699824352,36.24851313453517,True,True
255,15.312710355977371,36.24001148068051,True,True
256,15.300857325033345,36.23875940419116,True,True
257,15.27908784597608,36.23712949995721,True,True
258,15.259503175600802,36.23364604076183,True,True
259,15.207644206162382,36.222989142436745,True,True
260,15.195554284056731,36.21977495130504,True,True
261,15.168760205795236,36.219229055225945,True,True
262,15.129201296767592,36.21470469836466,True,True
263,14.95695774494756,36.16865272300997,True,True
264,14.911644026110224,36.16769765859229,True,True
265,14.895615618143063,36.16207772280169,True,True
266,14.858551487227944,36.16018495977356,True,True
267,14.820937568299298,36.15238493541707,True,True
268,14.775817917947478,36.14325297096285,True,True
269,14.727606812436363,36.13482246215496,True,True
270,14.726198779945406,36.13170541649308,True,True
271,14.658234613055669,36.12992286072935,True,True
272,14.600897034996803,36.10672935626358,True,True
273,14.56496009267288,36.10007669188616,True,True
274,14.54638747193819,36.09930278948276,True,True
275,14.506446748475906,36.09383191680335,True,True
276,14.480063383838818,36.088611589825554,True,True
277,14.472091019591238,36.08695023142965,True,True
278,14.461546337883703,36.085168308483375,True,True
279,14.454401957906043,36.08214532243817,True,True
280,14.452965014281697,36.08212781767048,True,True
281,14.450242236750665,36.0810507399597,True,True
282,14.436988313269692,36.0795369066081,True,True
283,14.421908390704182,36.07649798314644,True,True
284,14.408664125968931,36.07239482522844,True,True
285,14.393472865807873,36.07162914856898,True,True
286,14.38913077936407,36.06926277953361,True,True
287,14.356337673490463,36.06719436011113,True,True
288,14.3209002201468,36.05860936155038,True,True
289,14.268699332590238,36.04931375990174,True,True
290,14.260018166508072,36.04584998327859,True,True
291,14.222845528241908,36.04443683780054,True,True
292,14.19504031854595,36.03569317558873,True,True
293,14.178247644514618,36.03322081390964,True,True
294,14.167305585880456,36.03239452656175,True,True
295,14.13568000905514,36.02584321598816,True,True
296,14.107976054812251,36.0194452315895,True,True
297,14.081792709787932,36.01784578992862,True,True
298,13.999478434593126,36.000477871486794,True,True
299,13.958698212645846,35.991178373827054,True,True
300,13.874198680006852,35.98511095395264,True,True
301,13.82670351005764,35.97436850865176,True,True
302,13.801020446326516,35.969569859571465,True,True
303,13.761642777994886,35.96892150071,True,True
304,13.703377593398912,35.95074622500819,True,True
305,13.621248256509377,35.94164593966427,True,True
306,13.577814551601309,35.928846596253024,True,True
307,13.5393139455317,35.92658499959163,True,True
308,13.494621033395818,35.91624849879792,True,True
309,13.476671377901322,35.914389735358384,True,True
310,13.453482910422668,35.911547593073,True,True
311,13.4189957552847,35.902402319803386,True,True
312,13.388995966773532,35.898164116686104,True,True
313,13.361024327424808,35.89441264698098,True,True
314,13.294178792677757,35.88076817840184,True,True
315,13.275593952603485,35.87339426038896,True,True
316,13.253545025176544,35.87299395265478,True,True
317,13.239714490440456,35.868598291366894,True,True
318,13.190298725095923,35.864437666840104,True,True
319,13.113675260845248,35.84319243949821,True,True
320,13.093094913394676,35.84232303327016,True,True
321,13.084888726603548,35.8409805580872,True,True
322,13.077639468574215,35.84067967609045,True,True
323,13.045517948425095,35.83786579349146,True,True
324,12.99086025358196,35.82160056051276,True,True
325,12.975850959671469,35.8201377890492,True,True
326,12.941035975805624,35.819999618283134,True,True
327,12.881821534151038,35.80627490084158,True,True
328,12.84154239543815,35.79768359827332,True,True
329,12.810204534143406,35.795715868637146,True,True
