p,ct,sa,sigma1,alpha_smooth,beta_smooth,turner_ang,density_ratio,mixed_layer_final_mask,mixed_layer_temp_mask,mixed_layer_sal_mask,mixed_layer_sigma_mask,mixed_layer_mask,gradient_layer_final_mask,mixed_layer_step1_mask,grad_layer_step2_mask,grad_layer_step3_mask,grad_layer_step4_mask,mixed_layer_salt_finger_mask,gradient_layer_salt_finger_mask,mixed_layer_diffusive_convective_mask,gradient_layer_diffusive_convective_mask
1586.0,13.003822,38.74001,33.501516027642765,0.0002312281853339656,0.0007292073578849958,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1587.0,13.003822,38.74001,33.501516027642765,0.00023124507171175515,0.0007291976346460229,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1588.0,13.003822,38.74001,33.501516027642765,0.00023126195738963282,0.0007291879118278601,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1589.0,13.003822,38.74001,33.501516027642765,0.00023127884236753523,0.0007291781894305045,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1590.0,13.003822,38.74001,33.501516027642765,0.00023129572664539865,0.0007291684674539537,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1591.0,13.003822,38.74001,33.501516027642765,0.00023131261022315972,0.0007291587458982049,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1592.0,13.003822,38.74001,33.501516027642765,0.00023132949310075487,0.0007291490247632554,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1593.0,13.003822,38.74001,33.501516027642765,0.00023134637527812062,0.0007291393040491026,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1594.0,13.003822,38.74001,33.501516027642765,0.0002313632567551935,0.0007291295837557438,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1595.0,13.003822,38.74001,33.501516027642765,0.00023138013753191015,0.0007291198638831764,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1596.0,13.003822,38.74001,33.501516027642765,0.0002313970176082071,0.0007291101444313977,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1597.0,13.003822,38.74001,33.501516027642765,0.00023141389698402097,0.0007291004254004051,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1598.0,13.003822,38.74001,33.501516027642765,0.00023143077565928834,0.0007290907067901958,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1599.0,13.003822,38.74001,33.501516027642765,0.00023144765363394585,0.0007290809886007671,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1600.0,13.003822,38.74001,33.501516027642765,0.0002314645309079302,0.0007290712708321166,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1601.0,13.003822,38.74001,33.501516027642765,0.00023148140748117807,0.0007290615534842413,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1602.0,13.003822,38.74001,33.501516027642765,0.0002314982833536262,0.000729051836557139,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
